 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares
9,3664,0.287029289,1,0.434137291,25,25,20,2,4.249727074,10,0,0,0,0,1,0,4,521,251.1,3900,843300,142690,1783.195122,3284.380993,2421.79442,368,8000,1962.666667,0,1,0,0,0,0,0,0,0.020015639,0.020058979,0.020003456,0.020000062,0.919921864,0.481567426,0.191071018,0.06768559,0.015283843,0.815789474,0.184210526,0.383049024,0.0625,1,-0.282589286,-0.8,-0.0125,0,0,0.5,0,3000
13,3940,0.277293695,1,0.458411215,53,15,10,1,4.548984772,7,0,0,1,0,0,0,-1,1300,337.9414286,3900,843300,299414.2857,2447.536524,5209.113014,3432.443061,1600,1600,1600,1,0,0,0,0,0,0,0,0.885656819,0.028572425,0.028571578,0.028571506,0.028627672,0.516271799,0.208959281,0.060659898,0.015482234,0.796666667,0.203333333,0.405130685,0.033333333,1,-0.257936508,-1,-0.025,0.3,0.1,0.2,0.1,2800
13,4119,0.288626873,1,0.482913669,34,12,11,0,4.54163632,7,0,0,1,0,0,0,-1,1300,329.2271429,3900,843300,299414.2857,2458.739889,5050.028662,3409.230826,1600,3900,2481.818182,1,0,0,0,0,0,0,0,0.885656764,0.028572425,0.028571578,0.028571506,0.028627727,0.479620358,0.20366838,0.057781015,0.01383831,0.806779661,0.193220339,0.400368511,0.0625,1,-0.233416876,-0.5,-0.025,0.6,0.2,0.1,0.2,2600
9,3846,0.291169451,1,0.440869565,120,5,21,0,4.98699948,10,0,0,0,0,1,0,4,3200,776.9,2100,617900,100280,1750,5387.937743,3514.135045,2900,5400,4175,0,0,0,0,1,0,0,0,0.020412166,0.020014121,0.020011232,0.126747655,0.812814826,0.504129349,0.212078192,0.048361934,0.01326053,0.784810127,0.215189873,0.441124028,0.033333333,1,-0.214834267,-0.8,-0.071428571,0,0,0.5,0,2500
15,3290,0.239937597,1,0.319794584,15,2,31,1,5.168693009,8,0,0,0,0,0,1,-1,1000,424,1600,843300,206662.5,1300,3575.108494,2098.703455,1100,1800,1450,0,0,1,0,0,0,0,0,0.151802272,0.025000299,0.773196272,0.025000181,0.025000976,0.43574153,-0.068153541,0.017933131,0.018844985,0.487603306,0.512396694,0.276682075,0.05,0.8,-0.464471326,-1,-0.05,0.65,-0.55,0.15,0.55,1500
10,3428,0.140408701,1,0.153626732,5,5,42,0,4.12193699,9,0,1,0,0,0,0,-1,677,205,0,843300,252977.7778,0,5773.529412,3052.100032,737,22200,6367.4,0,0,0,0,1,0,0,0,0.022554956,0.022756056,0.407162498,0.525301061,0.02222543,0.454572676,0.015002836,0.018961494,0.032088681,0.371428571,0.628571429,0.408368964,0.05,0.8,-0.206590909,-0.5,-0.1,0.4,0.1,0.1,0.1,1100
9,2448,0.430820215,0.999999999,0.672107877,46,0,1,0,4.706699346,8,1,0,0,0,0,0,4,5900,1086.25,2300,690400,119712.5,1358.25,5900,3752.155527,0,0,0,0,0,1,0,0,0,0,0,0.654594405,0.025063919,0.025048939,0.269477321,0.025815417,0.567936061,0.167729717,0.06004902,0.023284314,0.720588235,0.279411765,0.418499867,0.05,1,-0.351705653,-1,-0.05,1,0,0.5,0,73100
12,1769,0.289053592,0.999999999,0.355833333,9,4,26,4,4.958168457,7,0,1,0,0,0,0,-1,765,342.5714286,6300,843300,205671.4286,1775.583333,4388.775281,3445.555611,17300,39100,28200,0,1,0,0,0,0,0,0,0.028572256,0.029275941,0.02857189,0.884658925,0.028920989,0.593982175,0.245683728,0.071226682,0.014132278,0.834437086,0.165562914,0.447978424,0.033333333,1,-0.532333333,-0.7,-0.125,0.833333333,-0.35,0.333333333,0.35,63300
11,1159,0.49183303,0.999999999,0.693113771,8,4,2,27,4.511647972,5,0,1,0,0,0,0,-1,529,131.5,0,843300,307660,0,11913.6,4287.267345,1900,2900,2400,1,0,0,0,0,0,0,0,0.040002943,0.839313428,0.040146225,0.040536902,0.040000502,0.450117342,-0.004283169,0.050905953,0.048317515,0.513043478,0.486956522,0.413281055,0.05,1,-0.420096372,-1,-0.05,0,0,0.5,0,51900
14,1192,0.47012987,0.999999999,0.643835616,32,9,5,10,4.534395973,4,0,1,0,0,0,0,-1,711,189.5,9200,843300,324050,3103.203739,3715.875387,3351.573549,805,8600,4611.666667,0,1,0,0,0,0,0,0,0.05000042,0.796642537,0.050000672,0.053355526,0.050000844,0.442818018,0.137871058,0.042785235,0.01090604,0.796875,0.203125,0.333867032,0.0625,1,-0.175457875,-0.3,-0.071428571,0,0,0.5,0,46400
